AgentRefID,total_payment,total_successfull_payments,total_failed_payments,total_amount_transaction,max_amount_transaction,min_amount_transaction,avg_amount_transaction,median_amount_transaction,total_amount_transaction_gt100,total_count_transaction_gt100,total_amount_transaction_gt1000,total_count_transaction_gt1000,total_amount_transcation_debit,total_amount_transaction_credit,total_unique_payee,total_unique_distributer,avg_count_payment_permonth,avg_count_payment_gt100_permonth,avg_amount_payment_permonth,avg_amout_payment_gt100_permonth,avg_last_month_amount_txn,avg_txn_first_week,avg_last_month_1week_amount_txn,last_month_amount_gt100,vintage,recency,total_ticket_raised,total_ticket_raised_last_2_month,avg_ticked_rasied_per_month,Churn
342,813,754,59,1430775.0,5000.0,1.0,1897.579575596817,1600.0,1430579.0,558,1300899.0,411,1430583.0,192.0,265,1,103.0,79.71428571428571,1916.4851041689456,2577.2389064581143,145117.0,2048.189189189189,41304.0,145100.0,203.0,1.0,0.0,0.0,0.0,0.0
151,14200,13775,425,40784338.0,49999.0,1.0,2960.750490018149,2000.0,40782971.0,13046,37875323.0,9802,40783639.0,699.0,5114,1,2144.0,1864.4285714285713,2937.551745473968,3100.792807521185,4203292.0,2948.1756717711646,1359520.0,4203246.0,203.0,1.0,0.0,0.0,0.0,0.0
296,724,671,53,1555659.0,5000.0,1.0,2318.4187779433682,2000.0,1555255.0,465,1487530.0,390,1555456.0,203.0,351,1,671.0,467.0,2318.4187779433682,3330.7387580299787,0.0,2277.2628205128203,0.0,0.0,19.0,185.0,0.0,0.0,0.0,1.0
517,2868,2757,111,7514913.0,7000.0,1.0,2725.7573449401525,2500.0,7514328.0,2474,7249241.0,2150,7514646.0,267.0,1234,1,758.0,495.4,2647.157401100476,3024.45069488558,0.0,2540.4375,0.0,0.0,146.0,58.0,0.0,0.0,0.0,0.0
581,127,119,8,297331.0,5000.0,1.0,2498.5798319327732,2000.0,297314.0,102,291314.0,94,297314.0,17.0,34,1,22.5,17.0,2116.7462522045857,2508.0590575396823,0.0,1925.4,0.0,0.0,166.0,36.0,0.0,0.0,0.0,1.0
708,3900,3727,173,8969521.0,25000.0,1.0,2406.6329487523476,2000.0,8968342.0,2845,8499592.0,2319,8968654.0,867.0,1255,1,504.0,406.85714285714283,2410.5939742622463,3147.7675272765878,1174363.0,2276.3360655737706,265634.0,1174260.0,203.0,1.0,0.0,0.0,0.0,0.0
709,1172,1110,62,2963785.0,30000.0,1.0,2670.0765765765764,2000.0,2963447.0,970,2800256.0,783,2963687.0,98.0,597,1,148.0,138.85714285714286,2638.693401802193,3005.5615786404037,311288.0,2430.4137931034484,44505.0,311279.0,203.0,1.0,4.0,4.0,4.0,0.0
370,760,712,48,1780120.0,5000.0,1.0,2500.1685393258426,2000.0,1779959.0,659,1627379.0,487,1780073.0,47.0,421,1,115.5,110.0,2414.636085094012,2668.5774785178046,95011.0,2672.011049723757,58005.0,95000.0,162.0,1.0,7.0,2.0,1.75,0.0
822,1200,1160,40,3584934.0,13000.0,1.0,3090.460344827586,3000.0,3584932.0,1158,3523242.0,1084,3584932.0,2.0,814,1,70.0,231.6,2740.801023809524,2746.352294723295,0.0,2983.7359813084113,0.0,0.0,122.0,82.0,1.0,0.0,1.0,1.0
153,4661,4471,190,9683289.0,5000.0,1.0,2165.7993737418924,2000.0,9681055.0,3136,9116230.0,2502,9681965.0,1324.0,1467,1,645.0,449.14285714285717,2180.049361479384,3098.8004747667183,586878.0,2094.1596828992074,188311.0,586802.0,204.0,1.0,1.0,0.0,1.0,0.0
886,360,330,30,824167.0,5000.0,1.0,2497.4757575757576,2000.0,824085.0,248,781444.0,198,824085.0,82.0,183,1,42.0,35.42857142857143,2393.9639978537098,3271.6688077807894,104399.0,2862.031914893617,33000.0,104387.0,190.0,5.0,1.0,0.0,1.0,0.0
254,7625,6899,726,25602533.0,49999.0,1.0,3711.049862298884,1500.0,25599913.0,4485,25140510.0,3939,25600129.0,2404.0,2625,2,1076.0,641.0,3677.014449960119,5656.903683293937,2076533.0,3482.0499702558,784110.0,2076283.0,203.0,1.0,0.0,0.0,0.0,0.0
747,2535,2340,195,5295640.0,8300.0,1.0,2263.094017094017,2000.0,5295124.0,1824,5194936.0,1674,5295132.0,508.0,1005,2,321.0,260.57142857142856,2246.822372650573,2851.024076899315,212267.0,2335.805900621118,195846.0,212253.0,200.0,4.0,1.0,0.0,1.0,0.0
4527,1067,938,129,1784541.0,5000.0,1.0,1902.495735607676,1450.0,1784060.0,655,1625560.0,476,1784260.0,281.0,326,2,344.0,219.0,1938.9266663353872,2739.0830212234705,525144.0,1830.1254752851712,185506.0,525090.0,80.0,1.0,1.0,1.0,1.0,0.0
347,729,670,59,1382754.0,15000.0,1.0,2063.8119402985076,1050.0,1382279.0,442,1299079.0,335,1382532.0,222.0,218,1,124.0,63.42857142857143,1842.0146701026608,3039.5696861939105,51208.0,2178.4593023255816,0.0,51200.0,202.0,2.0,4.0,1.0,1.3333333333333333,0.0
367,2338,2255,83,4904645.0,5000.0,1.0,2175.008869179601,2000.0,4903596.0,1701,4583463.0,1314,4904096.0,549.0,681,1,351.0,243.71428571428572,2188.9923969366523,2875.4189012043967,580844.0,2332.0404217926184,234339.0,580782.0,203.0,1.0,13.0,0.0,3.25,0.0
4394,384,368,16,1411095.0,8000.0,340.0,3834.4972826086955,5000.0,1411095.0,368,1379149.0,329,1411095.0,0.0,228,1,100.5,92.0,3843.425463081059,3843.425463081059,336680.0,4091.663043478261,98057.0,336680.0,101.0,1.0,1.0,1.0,1.0,0.0
159,4787,4555,232,11304204.0,20000.0,1.0,2481.7132821075743,2000.0,11302790.0,3695,10643111.0,2920,11303365.0,839.0,1987,1,775.0,528.5714285714286,2593.764114503207,3045.536695158916,441834.0,2358.1504559270516,44502.0,441821.0,203.0,1.0,4.0,0.0,2.0,0.0
286,1947,1847,100,2927786.0,40000.0,1.0,1585.1575527883053,800.0,2926733.0,1130,2606835.0,700,2927073.0,713.0,768,2,243.0,161.85714285714286,1583.8087094680711,2572.204726941975,309806.0,1655.3363636363636,120637.0,309740.0,203.0,1.0,10.0,3.0,5.0,0.0
742,900,665,235,560564.0,5000.0,1.0,842.9533834586466,1.0,559882.0,265,490152.0,160,560167.0,397.0,211,1,103.0,38.0,799.4421437572283,1954.5188333790777,97351.0,831.2679738562091,16027.0,97140.0,202.0,1.0,1.0,0.0,1.0,0.0
