AgentRefID,max_amount_transaction,min_amount_transaction,avg_amount_transaction,median_amount_transaction,total_amount_transaction_credit,total_unique_distributer,avg_amout_payment_gt100_permonth,avg_txn_first_week,avg_last_month_1week_amount_txn,vintage,total_ticket_raised_last_2_month,avg_ticked_rasied_per_month,Churn,Total_Score
2843,5000.0,1.0,668.0576923076923,1.0,39.0,1,2353.333333333333,1000.5,0.0,164.0,0.0,4.2,0.0,9
2463,5000.0,1.0,2999.752,3500.0,19.0,1,3538.2954545454545,2913.2622950819677,0.0,51.0,0.0,1.0,1.0,8
2507,5000.0,1.0,1362.6756756756754,1000.0,35.0,1,2100.313949275362,1607.0,0.0,98.0,0.0,0.0,1.0,9
4128,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,9
1437,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9
3224,5000.0,1.0,1039.9830508474577,300.0,7.0,1,1332.8842592592596,1033.875,305.0,141.0,0.0,2.5,0.0,8
2473,25000.0,1.0,1818.7993600000002,1000.0,1148.0,1,2869.7061647841447,1817.8499234303213,182536.0,202.0,0.0,0.0,0.0,3
3816,5000.0,1.0,2670.45945945946,3000.0,7.0,1,3150.7575757575755,3080.0,0.0,127.0,0.0,1.0,1.0,9
3427,5000.0,1.0,2000.879310344828,1200.0,6.0,1,2089.8586744639374,1648.7142857142858,1500.0,177.0,0.0,1.3333333333333333,1.0,9
2172,24880.0,2500.0,7000.0,4970.0,0.0,1,10783.333333333334,0.0,0.0,92.0,2.0,4.0,0.0,11
972,5000.0,1.0,1996.7272727272727,900.0,4.0,1,2989.583333333333,5000.0,0.0,139.0,1.0,2.75,0.0,11
2852,12500.0,1.0,2944.1875,1050.0,7.0,1,4830.555555555556,1420.4,0.0,108.0,4.0,3.5,1.0,8
2758,9900.0,1.0,1411.6382978723404,400.0,6.0,1,1610.8777777777775,593.6923076923077,0.0,197.0,0.0,0.0,0.0,8
1360,19100.0,1.0,2637.8085106382982,1100.0,4.0,1,2703.555555555556,2040.0,16120.0,87.0,0.0,0.0,0.0,9
2657,5000.0,1.0,2125.5,1750.5,2.0,1,4250.0,0.0,0.0,0.0,0.0,0.0,1.0,12
2940,5000.0,1.0,2477.9,2000.0,32.0,1,4129.166666666667,2167.083333333333,0.0,29.0,0.0,0.0,1.0,8
3271,5000.0,1.0,1329.4242424242425,600.0,8.0,1,1763.6341991341992,820.5,1100.0,193.0,0.0,4.0,0.0,7
2549,8375.0,1.0,2303.107142857143,1149.5,1.0,1,2494.555555555555,1940.6363636363642,0.0,43.0,0.0,0.0,1.0,10
3094,25000.0,1.0,3976.03093220339,2156.0,11.0,1,3948.8557142857135,2714.5,6450.0,193.0,0.0,1.0,0.0,6
2492,5000.0,1.0,1472.657894736842,100.5,19.0,1,3140.509523809524,2387.0,400.0,190.0,5.0,5.333333333333333,0.0,9
2488,10568.0,1.0,2936.1330769230767,1796.0,1.0,1,2064.587976190476,1796.0,0.0,200.0,0.0,5.0,1.0,8
3675,20000.0,1.0,4380.4,900.0,2.0,1,5725.0,0.0,0.0,71.0,3.0,3.333333333333333,1.0,11
2512,9500.0,1.0,2053.0232558139537,750.0,20.0,1,3918.888888888889,1770.909090909091,0.0,98.0,0.0,4.666666666666667,1.0,10
1479,9800.0,400.0,3474.285714285714,3000.0,0.0,2,2915.0793650793653,4077.777777777778,21700.0,173.0,0.0,3.333333333333333,0.0,7
2505,5000.0,1.0,1006.9411764705884,300.0,3.0,1,1048.3,250.0,0.0,188.0,0.0,1.0,1.0,8
2545,4000.0,1.0,1235.0526315789473,1000.0,1.0,1,1638.333333333333,1950.0,3400.0,71.0,0.0,0.0,0.0,9
2950,5000.0,1.0,746.8354430379748,1.0,50.0,1,2016.68253968254,363.16666666666674,5.0,133.0,0.0,0.0,0.0,7
3833,5000.0,4950.0,4975.0,4975.0,0.0,1,4975.0,0.0,0.0,0.0,0.0,0.0,1.0,12
2506,21000.0,100.0,3318.68085106383,3000.0,0.0,1,3329.512250428627,3316.190476190476,18200.0,202.0,0.0,0.0,0.0,6
2971,17000.0,1.0,3663.431192660551,2000.0,27.0,1,3205.213653374629,3779.2,0.0,190.0,0.0,1.0,0.0,7
3069,9980.0,61.0,880.6428571428571,75.0,0.0,1,1650.0,62.0,124.0,160.0,1.0,1.0,0.0,11
2624,5000.0,1.0,3393.790419161677,4000.0,5.0,1,3524.795882352941,3211.134615384615,0.0,143.0,7.0,5.2,1.0,8
3051,1.0,1.0,1.0,1.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
1625,25000.0,350.0,6497.5,5000.0,0.0,1,4499.038461538461,10272.222222222224,0.0,84.0,0.0,1.0,0.0,9
4414,5000.0,1.0,874.4166666666665,175.0,2.0,1,1779.166666666667,100.5,0.0,84.0,0.0,0.0,0.0,9
2659,5000.0,1.0,1625.5,750.5,2.0,1,3250.0,0.0,0.0,2.0,0.0,2.75,1.0,12
2836,21000.0,160.0,6179.0,5000.0,0.0,1,6557.777777777777,7527.0,0.0,110.0,0.0,0.0,0.0,8
3125,25000.0,1.0,4333.307692307692,3000.0,3.0,1,4153.75,5033.2,0.0,139.0,4.0,3.5,1.0,10
3529,25000.0,1.0,7000.0,2000.0,1.0,1,11125.0,0.0,0.0,1.0,0.0,0.0,1.0,11
4503,4940.0,1.0,1154.4,300.0,4.0,1,1354.0,250.5,501.0,26.0,2.0,2.0,0.0,11
2683,13500.0,1.0,2151.0,475.0,10.0,1,2685.1666666666665,399.1428571428572,0.0,117.0,0.0,1.0,0.0,9
2559,20000.0,1.0,2947.290403587445,1606.96,4.0,1,2920.1297763642738,3106.654677419355,0.0,203.0,0.0,1.0,0.0,5
1051,20000.0,1.0,2630.4883720930234,2000.0,7.0,1,3080.365740740741,1531.666666666667,0.0,151.0,3.0,6.333333333333332,0.0,9
1284,14948.0,1.0,1638.142857142857,995.0,4.0,1,1698.83699161054,1532.2413793103449,1601.0,194.0,0.0,1.0,0.0,6
2672,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,3.0,1.0,12
2763,25000.0,1.0,5050.5862068965525,2000.0,24.0,2,9481.666666666668,6120.333333333332,0.0,120.0,0.0,2.25,0.0,8
3234,5000.0,1.0,1242.6451612903227,1.0,47.0,1,2261.596825396825,853.9,5505.0,185.0,0.0,0.0,0.0,8
4428,9150.0,1.0,2130.8541666666665,1095.0,5.0,1,2681.4529220779223,1512.0,902.0,96.0,0.0,0.0,0.0,8
3818,5000.0,10.0,2133.333333333333,1645.0,0.0,1,2041.1111111111115,1790.0,1790.0,114.0,0.0,0.0,0.0,11
2518,5000.0,1.0,3290.165048543689,4780.0,63.0,1,4065.1490623206905,3430.095588235294,0.0,181.0,0.0,2.0,0.0,6
2546,25000.0,1.0,7000.0,7000.0,0.0,1,11589.15625,0.0,0.0,16.0,0.0,1.5,1.0,11
3314,5000.0,1.0,2075.3214285714284,1425.0,9.0,1,3116.0,3500.0,0.0,113.0,0.0,0.0,1.0,9
2615,15000.0,1.0,4607.333333333333,3473.0,1.0,1,4233.5,2000.0,0.0,106.0,0.0,2.333333333333333,1.0,11
2862,1.0,1.0,1.0,1.0,2.0,1,0.0,0.0,0.0,25.0,0.0,0.0,0.0,12
2991,5000.0,1.0,633.0327868852459,1.0,38.0,1,1352.7466666666667,264.46666666666664,0.0,136.0,0.0,0.0,1.0,7
2867,30000.0,50.0,2928.0013373453694,2500.0,0.0,1,2928.7242787901923,2897.8492392807743,430980.0,203.0,0.0,0.0,0.0,3
3027,5000.0,1.0,2184.875,2000.0,4.0,1,2074.296296296296,2128.6428571428573,0.0,173.0,0.0,0.0,0.0,8
3306,11000.0,1.0,2852.5151515151515,2000.0,8.0,1,3137.5916666666667,2882.1587301587297,0.0,21.0,0.0,0.0,1.0,8
4174,5000.0,1.0,1624.4294385432474,1000.0,279.0,2,2811.412641414727,1641.1494252873565,0.0,46.0,0.0,0.0,1.0,6
2726,5000.0,1.0,2745.3,3500.0,3.0,1,4027.777777777778,0.0,0.0,96.0,0.0,1.0,0.0,11
674,25000.0,1.0,2811.6841746248297,1840.0,1424.0,1,4234.738345114269,2794.688872066616,242992.0,203.0,0.0,0.0,0.0,3
